date,baseRate,token1,token2,token3
2008-01-04,4.66235,3.66235,3.96235,4.8
2008-01-11,4.42500,3.66235,3.96235,4.8
2008-01-18,3.96475,3.66235,3.96235,4.8
2008-01-25,3.48925,3.66235,3.96235,4.8
2008-02-01,3.18825,3.66235,3.96235,4.8
2008-02-15,3.12375,3.66235,3.96235,4.8
2008-02-15,3.06750,3.66235,3.96235,4.8
2008-02-15,3.07813,3.66235,3.96235,4.8
2008-02-29,3.07950,3.66235,3.96235,4.8
2008-02-29,2.99025,3.66235,3.96235,4.8
2008-02-29,2.83650,3.66235,3.96235,4.8
2008-03-14,2.58141,3.66235,3.96235,4.8
2008-03-14,2.68000,3.66235,3.96235,4.8
2008-04-01,2.70538,3.66235,3.96235,4.8
2008-04-01,2.71175,3.1,3.96235,4.8
2008-04-14,2.77669,3.1,3.96235,4.8
2008-04-14,2.91588,3.1,3.96235,4.8
2008-05-02,2.83531,3.1,3.96235,4.8
2008-05-09,2.72313,3.1,3.96235,4.8
2008-05-16,2.69750,3.1,3.96235,4.8
2008-05-23,2.65138,3.1,3.96235,4.8
2008-05-30,2.66407,3.1,3.96235,4.8
2008-06-01,2.66407,3.1,3.96235,4.8
2008-06-01,2.67875,3.1,3.96235,4.8
2008-06-13,2.77113,3.1,3.96235,4.8
2008-06-20,2.80538,3.1,3.96235,4.8
2008-07-01,2.80275,3.1,3.96235,4.8
2008-07-01,2.78850,2.8,2.8,3.8
2008-07-11,2.79038,2.8,2.8,3.8
2008-07-18,2.78838,2.8,2.8,3.8
2008-08-01,2.79675,2.8,2.8,3.8
2008-08-01,2.79625,2.8,2.8,3.8
2008-08-08,2.80175,2.8,2.8,3.8
2008-08-15,2.80563,2.8,2.8,3.8
2008-08-22,2.81075,2.8,2.8,3.8
2008-09-01,2.81000,2.8,2.8,3.8
2008-09-01,2.81325,2.8,2.8,3.8
2008-09-12,2.81825,2.8,2.8,3.8
2008-09-19,3.03375,2.8,2.8,3.8
2008-10-01,3.48313,2.8,2.8,3.8
2008-10-01,4.12525,3.5,2.8,4.5
2008-10-10,4.54025,3.5,2.8,4.5
2008-10-17,4.57175,3.5,2.8,4.5
2008-10-24,3.69700,3.5,2.8,4.5
2008-10-31,3.32225,3.5,2.8,4.5
2008-11-07,2.54975,3.5,2.8,4.5
2008-11-14,2.18550,3.5,2.8,4.5
2008-11-21,2.18788,3.5,2.8,4.5
2008-11-28,2.19313,3.5,2.8,4.5
2008-12-05,2.20188,3.5,2.8,4.5
2008-12-12,2.07388,3.5,2.8,4.5
2008-12-19,1.66375,3.5,2.8,4.5
2009-01-01,1.46667,3.5,2.8,4.5
2009-01-01,1.43281,3.5,2.8,4.5
