date,baseRate,token1,token2
2005-01-01,2.66675,1,2
2005-02-01,2.81950,1,2
2005-03-01,3.02351,1,2
2005-04-01,3.15326,1,2
2005-05-01,3.27402,3,2
2005-06-01,3.42625,1,1
2005-07-01,3.61302,1,1
2005-08-01,3.79902,1,1
2005-09-01,3.90572,1,1
2005-10-01,4.16740,1,1
2005-11-01,4.35223,1,1
2005-12-01,4.49100,1,1
2006-01-01,4.60527,1,1
2006-02-01,4.75555,1,1
2006-03-01,4.92029,1,1
2006-04-01,5.07115,1,1
2006-05-01,5.18551,1,1
2006-06-01,5.38480,1,1
2006-07-01,5.49533,1,1
2006-08-01,5.42070,1,1
2006-09-01,5.38366,1,1
2006-10-01,5.37334,1,1
2006-11-01,5.37208,1,1
2006-12-01,5.35997,1,1
2007-01-01,5.36001,1,1
2007-02-01,5.35941,1,1
2007-03-01,5.34715,1,1
2007-04-01,5.35476,1,1
2007-05-01,5.35891,1,1
2007-06-01,5.36000,1,1
2007-07-01,5.35966,1,1
2007-08-01,5.48271,1,1
2007-09-01,5.49394,1,1
2007-10-01,5.14652,1,1
2007-11-01,4.96208,1,1
2007-12-01,4.97941,1,1
2008-01-01,3.91764,1,1
2008-02-01,3.08759,1,1
2008-03-01,2.78250,1,1
2008-04-01,2.79466,1,1
2008-05-01,2.69238,1,1
2008-06-01,2.76539,1,1
2008-07-01,2.79234,1,1
2008-08-01,2.80625,1,1
2008-09-01,3.12168,1,1
2008-10-01,4.05859,1,1
2008-11-01,2.27906,1,1
2008-12-01,1.82935,1,1
2009-01-01,1.21081,1,1
2009-02-01,1.24263,1,1
2009-03-01,1.26674,1,1
2009-04-01,1.10622,1,1
2009-05-01,0.81503,1,1
2009-06-01,0.62071,1,1
2009-07-01,0.51533,1,1
2009-08-01,0.42452,1,1
2009-09-01,0.29795,1,1
2009-10-01,0.28308,1,1
2009-11-01,0.26814,1,1
2009-12-01,0.25305,1,1
2010-01-01,0.25012,1,1
